"LOJA","NM_LOJA","DT_VENDA","MES_VENDA","ANO_VENDA","SKU","SKU_DESC","CLIENTE","CEP","VENDA"
3,"Campinas D. Pedro","2020-02-12",2,2020,90535146500000,"Assento Lille/Etna Polip FC Br Sensea","599X1429XXXXXXXXXXXX",13025002,27.54
3,"Campinas D. Pedro","2020-02-08",2,2020,14941565500000,"AREIA MEDIA LAVADA 20 KG","7514773XXXXXXXXXXXXX",13101506,1.44
4,"Contagem","2020-02-14",2,2020,14141915440000,"Enchimento 45x45","314146X97XXXXXXXXXXX",30140130,8.55
4,"Contagem","2020-02-10",2,2020,14979217100000,"Vaso Sanit P/Cx Vert Eco Plus Br Roca","47557X7XXXXXXXXXXXXX",33943770,1.21
5,"Raposo Tavares","2020-02-19",2,2020,14917703200000,"VENEZIANA HOME 3F 100X150 -","3377147XXXXXXXXXXXXX",5633000,160.76
5,"Raposo Tavares","2020-02-08",2,2020,14974676200000,"PORC ESM AC RET INT 50X101 CHENE M2 ART","143725643XXXXXXXXXXX",6783230,17.56
5,"Raposo Tavares","2020-02-18",2,2020,14920465400000,"REJ TRAVER 1KG ACRIL AREA UMDA  ARGATEX","62227614XXXXXXXXXXXX",6765001,52.28
7,"Rio Norte","2020-02-19",2,2020,90134695000000,"PISO AC EXT 54X54 CA14014 M2","451414143XXXXXXXXXXX",20960006,66.09
9,"Curitiba","2019-02-20",2,2019,14933539300000,"Vaso Sanit P/Cx Vert Parati Br Logasa","1431477677XXXXXXXXXX",81830280,20.35
9,"Curitiba","2020-02-08",2,2020,14974464100000,"TAMPO SALIGNA QUADRADO 60X61X3,1","33714447XXXXXXXXXXXX",81150340,25.3
10,"Sao Caetano","2020-02-06",2,2020,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","1444714795XXXXXXXXXX",9080001,2.99
10,"Sao Caetano","2020-02-21",2,2020,14930756100000,"RODAPE POLIESTIRENO FB11 BCO 244X1,8X11","976399XXXXXXXXXXXXXX",9571425,152.7
10,"Sao Caetano","2020-02-16",2,2020,14979217100000,"Vaso Sanit P/Cx Vert Eco Plus Br Roca","1449956149XXXXXXXXXX",3210000,2.26
15,"São José Campos","2020-02-09",2,2020,14914515660000,"Areia Media lavada 20 kg","14737X37XXXXXXXXXXXX",12247001,-5.28
15,"São José Campos","2019-02-22",2,2019,14950571000000,"Kit Gab Pop L56xP34cm Br Sensea","21423945XXXXXXXXXXXX",12231290,61.55
15,"São José Campos","2020-02-24",2,2020,14566266100000,"NEUTROL 18L VEDACIT","1467645XXXXXXXXXXXXX",12228424,19.1
16,"Ricardo Jafet","2019-02-19",2,2019,14543449600000,"Acril fo suvinil 3,6l perola","14733XX14XXXXXXXXXXX",4116060,56.99
20,"BH Sul","2020-02-18",2,2020,14140166420000,"VITRO BASCULANTE 1S FORTLINE BCO 60X60","144X7722XXXXXXXXXXXX",34000000,5.8
20,"BH Sul","2020-02-12",2,2020,14922971440000,"ARGAMASSA COLANTE ACII MG","1447X59X5XXXXXXXXXXX",34400000,72.85
21,"Niteroi","2020-02-11",2,2020,14937112100000,"PISO AC INT 61X61 TIVOLI M2 ART","7779399XXXXXXXXXXXXX",24436760,37.04
22,"Anhanguera","2019-02-08",2,2019,14974091400000,"NICHO BG CLASSIC NBP302003 30X30 PC ART","5742766XXXXXXXXXXXXX",13052422,45.02
23,"Taguatinga","2019-02-28",2,2019,14904121100000,"REV AC RET INT 43,2X91 BLANCH QUITAN M2","14314979X7XXXXXXXXXX",71955000,203.47
24,"Lar Center","2020-02-18",2,2020,14591419450000,"CAL HIDRATADA CONSTRUÇÃO CIVIL 20KG VOT","614X241414XXXXXXXXXX",2041040,16.13
24,"Lar Center","2020-02-11",2,2020,90535256000000,"PORC ESM AC RET INT 20X120 MAD NUT M2","59775XXXXXXXXXXXXXXX",5624010,17.67
27,"Sorocaba","2020-02-24",2,2020,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","14424757XXXXXXXXXXXX",18053373,11.22
27,"Sorocaba","2019-02-07",2,2019,14921472330000,"BALDE METÁLICO P/CONCRETO 10L NOVE54","6633993XXXXXXXXXXXXX",4211000,0.04
